window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,1,27,9,4,2,0,0,259,298,0,0,0
1,1,1,27,9,4,2,0,27,299,428,0,0,0
2,2,1,27,9,4,2,0,1,429,480,0,0,0
3,3,1,27,9,4,2,0,2,481,535,0,0,0
4,4,1,27,9,4,2,0,3,536,593,0,0,0
5,5,1,27,9,4,2,0,4,594,654,0,0,0
6,6,1,27,9,4,2,0,5,655,718,0,0,0
7,7,1,27,9,4,2,0,6,719,785,0,0,0
8,8,1,27,9,4,2,0,7,786,855,0,0,0
9,9,1,27,9,4,2,0,8,856,928,0,0,0
10,10,1,27,9,4,2,0,9,929,1004,0,0,0
11,11,1,27,9,4,2,0,10,1005,1083,0,0,0
12,12,1,27,9,4,2,0,11,1084,1165,0,0,0
13,13,1,27,9,4,2,0,12,1166,1250,0,0,0
14,14,1,27,9,4,2,0,13,1251,1338,0,0,0
15,15,1,27,9,4,2,0,14,1339,1429,0,0,0
16,16,1,27,9,4,2,0,15,1430,1523,0,0,0
17,17,1,27,9,4,2,0,16,1524,1620,0,0,0
18,18,1,27,9,4,2,0,17,1621,1720,0,0,0
19,19,1,27,9,4,2,0,18,1721,1823,0,0,0
20,20,1,27,9,4,2,0,19,1824,1929,0,0,0
21,21,1,27,9,4,2,0,20,1930,2038,0,0,0
22,22,1,27,9,4,2,0,21,2039,2150,0,0,0
23,23,1,27,9,4,2,0,22,2151,2265,0,0,0
24,24,1,27,9,4,2,0,23,2266,2383,0,0,0
25,25,1,27,9,4,2,0,24,2384,2504,0,0,0
26,26,1,27,9,4,2,0,25,2505,2628,0,0,0
27,27,1,27,9,4,2,0,26,2629,2755,0,0,0
28,28,1,27,9,4,2,0,27,2756,2885,0,0,0
29,29,1,27,9,4,2,0,27,2886,3015,0,0,0
30,30,1,27,9,4,2,0,13,3016,3103,0,0,0
31,31,1,27,9,4,2,0,0,3104,3143,0,0,0
